ingr,Thiamin,Vitamin B12,Vitamin B6,Protein,Riboflavin,Copper,Saturated fat,Vitamin K,Fat,Phosphorus,Dietary Fiber,Vitamin E,Pantothenic acid,Magnesium,Potassium,Sodium,Biotin,Cholesterol,Folate,Niacin,Iron,Selenium,Calcium,Total carbohydrates,Zinc,Choline,Vitamin A,Vitamin C,Vitamin D
almond,0.03416666666666667,0.0,0.060588235294117644,0.42,0.7223076923076922,1.037777777777778,0.3275,0.0,0.7115384615384616,0.4064,0.3678571428571429,1.6133333333333333,,0.6642857142857143,0.15914893617021278,0.09869565217391305,,0.0,0.1325,0.1975,0.1938888888888889,0.04363636363636363,0.26692307692307693,0.06836363636363636,0.2990909090909091,0.09472727272727273,0.0,0.0,0.0
amaretto,,,,0.0,,,0.1665,,0.1282051282051282,,0.0,,,,0.0,0.029130434782608697,,0.0,,,0.0,,0.0,0.12109090909090908,,,,,
apple,,,,0.0,,,0.0,,0.008333333333333333,,0.1142857142857143,,,,0.023404255319148935,0.0,,0.0,,,0.012777777777777779,,0.0,0.052000000000000005,,,,0.034444444444444444,
apple juice,,,,0.0084,,,0.0,,0.0,,0.0,,,,0.009361702127659575,0.0,,0.0,,,0.0,,0.0,0.05309090909090909,,,,,
apricot,,,,0.0,,,,,0.0,,,,,,0.015106382978723404,0.0026086956521739132,,,,,,,,0.04909090909090909,,,,0.19555555555555557,
artichoke,,,,0.0334,,,0.08349999999999999,,0.08551282051282051,,0.060714285714285714,,,,,0.13043478260869565,,0.0,,,0.03333333333333333,,0.0,0.01210909090909091,,,,0.0,
arugula,,,,0.047,,,0.0,,0.007564102564102564,,0.04285714285714286,,,,,0.012608695652173913,,0.0,,,0.07055555555555555,,0.13538461538461538,0.012836363636363635,,,,0.15666666666666668,
asian pear,0.0075,0.0,0.012941176470588235,0.01,0.007692307692307692,0.05555555555555556,0.0006000000000000001,0.0375,0.002948717948717949,0.0088,0.1285714285714286,0.008,,0.01904761904761905,0.02574468085106383,0.0,,0.0,0.02,0.0136875,0.0,0.0018181818181818182,0.003076923076923077,0.03854545454545454,0.0018181818181818182,0.009272727272727273,0.0,0.042222222222222223,0.0
asparagus,,,,0.047,,,0.0,,0.0,,0.08571428571428572,,,,0.04297872340425532,0.0,,0.0,,,0.11777777777777779,,0.018461538461538463,0.012836363636363635,,,,0.06555555555555556,
avocado,0.016666666666666666,0.10833333333333334,0.0058823529411764705,0.038,0.038461538461538464,0.011111111111111112,0.29900000000000004,0.8058333333333334,0.555128205128205,0.0248,0.0035714285714285718,0.30666666666666664,,0.016666666666666666,0.012340425531914894,0.3769565217391304,,0.13333333333333333,0.01,0.00875,0.019444444444444445,0.02909090909090909,0.026153846153846153,0.026763636363636364,0.022727272727272728,0.006545454545454545,0.011111111111111112,0.0022222222222222222,0.0
bacon,,,,0.7140000000000001,,,0.7150000000000001,,0.45769230769230773,,0.0,,,,,0.8695652173913043,,0.12,,,0.14277777777777778,,0.0,0.0,,,,0.0,
banana,,,,0.25,,,0.0,,0.08012820512820513,,0.22142857142857145,,,,,0.2582608695652174,,0.0,,,0.06222222222222223,,0.09615384615384616,0.14763636363636365,,,,0.16666666666666666,
bean,0.075,0.0,0.06764705882352942,0.10880000000000001,0.07692307692307693,0.2177777777777778,0.02645,0.014166666666666666,0.04743589743589744,0.084,0.17500000000000002,0.06066666666666667,,0.09523809523809523,0.07829787234042553,0.19260869565217392,,0.0,0.0525,0.026875,0.08888888888888889,0.14,0.02,0.05781818181818182,0.06272727272727273,0.029636363636363638,0.0,0.006666666666666666,0.0
beef,,,,0.4,,,0.20600000000000002,,0.07538461538461538,,0.0,,,,,0.09217391304347826,,0.17666666666666667,,,0.23555555555555557,,0.0,0.0,,,,0.0,
beef rib,0.025,0.4875,0.15,0.426,0.06923076923076922,0.05222222222222222,0.12250000000000001,,0.08692307692307692,0.1472,0.0,0.04933333333333333,0.0586,0.047619047619047616,0.07170212765957447,0.023478260869565216,,0.19,,0.269375,0.10111111111111111,0.05272727272727273,0.011538461538461539,0.0,0.3590909090909091,,0.008888888888888889,0.0,0.01
beef shank,0.08333333333333334,1.3875000000000002,0.27647058823529413,0.436,0.1692307692307692,0.07888888888888888,0.064,,0.04935897435897436,0.1632,0.0,,0.06999999999999999,0.03333333333333333,0.0823404255319149,0.027391304347826086,,0.13,0.02,0.35875,0.1288888888888889,0.3218181818181818,0.015384615384615385,0.0,0.630909090909091,,0.0,0.0,
beef tenderloin,,,,0.414,,,0.177,,0.09717948717948718,,0.0,,,,,0.027391304347826086,,0.17,,,0.12611111111111112,,0.0,0.0,,,,0.0,
beer,0.004166666666666667,0.008333333333333333,0.027058823529411764,0.0092,0.019230769230769232,0.005555555555555556,0.0,0.0,0.0,0.0112,0.0,0.0,,0.014285714285714285,0.00574468085106383,0.0017391304347826088,,0.0,0.015,0.0320625,0.0011111111111111111,0.010909090909090908,0.003076923076923077,0.012909090909090908,0.0009090909090909091,0.018363636363636363,0.0,0.0,0.0
beet,0.008333333333333333,0.0,0.029411764705882356,0.016,0.03692307692307692,0.1288888888888889,0.00065,0.0025,0.0010256410256410256,0.0136,0.028571428571428574,0.004,,0.03571428571428571,0.02446808510638298,0.06478260869565218,,0.0,0.0675,0.0156875,0.022777777777777775,0.01818181818181818,0.008461538461538461,0.059272727272727276,0.023636363636363636,0.02727272727272727,0.0022222222222222222,0.025555555555555554,0.0
bell pepper,0.03258333333333334,,0.14529411764705882,0.0143,0.0683076923076923,0.06422222222222222,,,0.001358974358974359,0.01344,0.03364285714285714,,,0.02142857142857143,0.03468085106382979,0.0,0.0,,,0.03975,0.010333333333333333,0.0,0.0057692307692307696,0.017381818181818182,0.011454545454545455,,,1.1055555555555556,
berry,0.023333333333333334,0.0,0.02823529411764706,0.0138,0.021538461538461538,0.056666666666666664,0.00095,0.06083333333333333,0.0039743589743589745,0.016,0.075,0.024666666666666667,,0.02619047619047619,0.027659574468085105,0.0004347826086956522,,0.0,0.0475,0.02475,0.020555555555555556,0.005454545454545454,0.01,0.03534545454545455,0.013636363636363636,0.010545454545454545,0.0022222222222222222,0.49,0.0
bitters,0.04083333333333334,0.0,0.03294117647058824,0.016399999999999998,0.039999999999999994,0.035555555555555556,0.036699999999999997,0.058333333333333334,0.034743589743589744,0.028,0.06785714285714285,0.028666666666666667,,0.0380952380952381,0.06574468085106383,0.05565217391304348,,0.006666666666666667,0.1225,0.017,0.020555555555555556,0.0036363636363636364,0.006923076923076923,0.015236363636363638,0.06818181818181818,0.019454545454545454,0.01888888888888889,0.35444444444444445,0.0
blackberry,,,,0.0116,,,0.0,,0.003717948717948718,,0.060714285714285714,,,,,0.0,,0.0,,,2.3333333333333335,,0.0015384615384615385,0.018036363636363635,,,,0.08888888888888889,
blue cheese,,,,0.428,,,0.8949999999999999,,0.3666666666666667,,0.1285714285714286,,,,,0.591304347826087,,0.23666666666666666,,,0.0,,0.4123076923076923,0.012981818181818181,,,,0.0,
blueberry,,,,0.0,,,,,0.0,,,,,,,0.0,,,,,,,,0.23636363636363636,,,,,
bourbon,0.2941666666666667,0.0,0.04176470588235294,0.1074,0.24153846153846154,0.09999999999999999,0.40499999999999997,0.09166666666666666,0.33589743589743587,0.0528,0.04642857142857143,0.16266666666666665,,0.03333333333333333,0.01872340425531915,0.15347826086956523,,0.0,0.31,0.205,0.16555555555555557,0.11272727272727273,0.01,0.23199999999999998,0.04454545454545455,0.0016363636363636363,0.0,0.0,0.0
bran,0.38583333333333336,0.004166666666666667,0.05411764705882353,0.192,0.23846153846153845,0.24,0.06949999999999999,0.025833333333333333,0.07692307692307693,0.0976,0.1357142857142857,0.004666666666666667,,0.10476190476190476,0.03404255319148936,0.1991304347826087,,0.0,0.4275,0.279375,0.21944444444444444,0.5781818181818182,0.07307692307692308,0.16218181818181818,0.09545454545454546,0.04818181818181818,0.0,0.0,0.0
brandy,0.005,0.0,0.0005882352941176471,0.0,0.003076923076923077,0.023333333333333334,0.0,0.0,0.0,0.0032,0.0,0.0,,0.0,0.000425531914893617,0.0004347826086956522,,0.0,0.0,0.0008125,0.0022222222222222222,0.0,0.0,0.0,0.0036363636363636364,0.0,0.0,0.0,0.0
bread,,,,0.1578,,,0.0,,0.0,,0.09285714285714286,,,,,0.24043478260869566,,0.0,,,0.05277777777777778,,0.0,0.20109090909090907,,,,0.0,
brie,,,,0.358,,,1.0699999999999998,,0.4115384615384616,,0.0,,,,,0.31043478260869567,,0.3566666666666667,,,0.19833333333333333,,269.2307692307692,0.0,,,,,
brisket,0.05750000000000001,1.0125000000000002,0.15764705882352942,0.532,0.1523076923076923,0.11888888888888888,0.3735,0.015000000000000001,0.2487179487179487,0.1712,0.0,0.012666666666666666,,0.05,0.054680851063829784,0.16826086956521738,,0.30666666666666664,0.0175,0.20875,0.13944444444444443,0.42000000000000004,0.005384615384615384,0.0,0.5372727272727272,0.18363636363636363,0.0,0.0,0.015
broccoli,,,,0.054000000000000006,,,0.0,,0.00435897435897436,,0.07142857142857142,,,,,0.023478260869565216,,0.0,,,0.04055555555555555,,0.031538461538461536,0.019672727272727272,,,,0.9911111111111112,
broccoli rabe,,,,0.047,,,0.0,,0.0,,0.08571428571428572,,,,0.07319148936170213,0.017826086956521738,,0.0,,,0.06555555555555555,,0.06153846153846154,0.017127272727272727,,,,,
